,argu,loss_fun,class_weight,nl,opt,epochs,error
44,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 30, 10]",RMSprop,300.0,275.1054309759317
45,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",SGD,100.0,647.375540200508
46,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",SGD,200.0,538.2145893100663
47,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",SGD,300.0,375.23363980677556
48,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",Adam,100.0,392.35298159811117
49,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",Adam,200.0,250.73896204429505
50,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",Adam,300.0,267.0673660623808
51,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",RMSprop,100.0,270.32733398032343
52,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",RMSprop,200.0,221.65281770097428
53,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",RMSprop,300.0,257.98516468242406
54,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 10]",SGD,100.0,631.9241400358069
55,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 10]",SGD,200.0,691.6880119795914
56,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 10]",SGD,300.0,661.4425721224384
57,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 10]",Adam,100.0,380.13471932669125
58,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 10]",Adam,200.0,320.4797702062949
59,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 10]",Adam,300.0,274.50368573524247
60,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 10]",RMSprop,100.0,295.89070911931043
61,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 10]",RMSprop,200.0,142.88819054204188
62,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[60, 10]",RMSprop,300.0,265.97264679967566
63,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 10]",SGD,100.0,548.2804341609656
64,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 10]",SGD,200.0,466.0283751168506
65,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 10]",SGD,300.0,583.6625717209307
66,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 10]",Adam,100.0,354.11852473547833
67,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 10]",Adam,200.0,238.24181372146987
68,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 10]",Adam,300.0,321.05534072874366
69,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 10]",RMSprop,100.0,326.54804242125385
70,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 10]",RMSprop,200.0,339.403993815634
71,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 60, 10]",RMSprop,300.0,376.477184908629
72,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 10]",SGD,100.0,589.692982743087
73,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 10]",SGD,200.0,476.2516221667444
74,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 10]",SGD,300.0,543.7315125467294
75,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 10]",Adam,100.0,313.2118800764087
76,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 10]",Adam,200.0,239.8786882437864
77,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 10]",Adam,300.0,313.5805968525735
78,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 10]",RMSprop,100.0,248.93252260799798
79,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 10]",RMSprop,200.0,305.2635653433822
80,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 60, 10]",RMSprop,300.0,258.52163996147675
81,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 10]",SGD,100.0,638.4497050299564
82,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 10]",SGD,200.0,409.72105734460246
83,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 10]",SGD,300.0,430.20238143122367
