,argu,loss_fun,class_weight,nl,opt,epochs,Rsquare_median,R_greater_80,R_greater_85
0,3.0,mae,"{0: 1, 1: 1, 2: 1}","[40, 10]",Adam,150.0,-0.042744796903198656,0.2727272727272727,0.20454545454545456
1,3.0,mae,"{0: 1, 1: 1, 2: 1}","[40, 10]",Adam,300.0,-0.25290037358501793,0.29545454545454547,0.2727272727272727
2,3.0,mae,"{0: 1, 1: 1, 2: 1}","[40, 10]",RMSprop,150.0,0.22527476454997136,0.29545454545454547,0.25
3,3.0,mae,"{0: 1, 1: 1, 2: 1}","[40, 10]",RMSprop,300.0,-0.24373172687427502,0.29545454545454547,0.29545454545454547
4,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",Adam,150.0,0.7955091839329553,0.4772727272727273,0.4318181818181818
5,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",Adam,300.0,0.5470824068828852,0.4090909090909091,0.36363636363636365
6,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,150.0,0.48652163457400327,0.36363636363636365,0.29545454545454547
7,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,300.0,0.6771705257578355,0.4090909090909091,0.3409090909090909
8,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,150.0,0.465847102831593,0.4090909090909091,0.3409090909090909
9,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,300.0,0.33340490804189377,0.3409090909090909,0.3409090909090909
10,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,0.31309641526714677,0.25,0.20454545454545456
11,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,0.48101603923518416,0.45454545454545453,0.38636363636363635
12,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",Adam,150.0,0.5724613126109827,0.3409090909090909,0.29545454545454547
13,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",Adam,300.0,0.72185228235136,0.4318181818181818,0.4090909090909091
14,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,150.0,0.7934857054944155,0.5,0.45454545454545453
15,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,300.0,0.7832490669220026,0.4772727272727273,0.4090909090909091
16,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 10]",Adam,150.0,0.19377984811566873,0.3181818181818182,0.25
17,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 10]",Adam,300.0,0.11228735223372271,0.3409090909090909,0.29545454545454547
18,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 10]",RMSprop,150.0,0.2546504318709082,0.36363636363636365,0.36363636363636365
19,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 10]",RMSprop,300.0,0.4818511291187808,0.36363636363636365,0.3409090909090909
20,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",Adam,150.0,0.8790126772897378,0.5681818181818182,0.5227272727272727
21,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",Adam,300.0,0.7744505378448701,0.4772727272727273,0.45454545454545453
22,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,150.0,0.7167362635150987,0.4318181818181818,0.36363636363636365
23,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,300.0,0.7068200266497779,0.4090909090909091,0.36363636363636365
24,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 10]",Adam,150.0,0.40300414232642207,0.25,0.25
25,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 10]",Adam,300.0,0.5142891490189248,0.3409090909090909,0.3181818181818182
26,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 10]",RMSprop,150.0,0.05546252311997957,0.25,0.22727272727272727
27,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 10]",RMSprop,300.0,0.23277615470378904,0.3181818181818182,0.3181818181818182
28,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 40]",Adam,150.0,0.5552972850976589,0.22727272727272727,0.20454545454545456
29,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 40]",Adam,300.0,0.4892221230268375,0.3181818181818182,0.29545454545454547
30,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 40]",RMSprop,150.0,0.3482495865670319,0.25,0.22727272727272727
31,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 40]",RMSprop,300.0,0.18677395381920142,0.3409090909090909,0.29545454545454547
32,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",Adam,150.0,0.59025811288545,0.38636363636363635,0.36363636363636365
33,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",Adam,300.0,0.6220747328160909,0.4090909090909091,0.3181818181818182
34,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,150.0,0.534100946486774,0.38636363636363635,0.3409090909090909
35,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,300.0,0.5045017231791613,0.4318181818181818,0.4090909090909091
36,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40]",Adam,150.0,0.683444979654881,0.4090909090909091,0.3409090909090909
37,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40]",Adam,300.0,0.8091481328841594,0.5227272727272727,0.38636363636363635
38,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,150.0,0.43965122118323957,0.3409090909090909,0.29545454545454547
39,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,300.0,0.6422656328811609,0.38636363636363635,0.29545454545454547
40,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70]",Adam,150.0,0.3558930908938769,0.25,0.20454545454545456
41,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70]",Adam,300.0,0.466789639457968,0.36363636363636365,0.3181818181818182
42,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70]",RMSprop,150.0,0.6510313675183491,0.3409090909090909,0.29545454545454547
43,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70]",RMSprop,300.0,0.07622682440854245,0.3409090909090909,0.29545454545454547
44,3.0,mae,"{0: 1, 1: 3, 2: 1}","[40, 10]",Adam,150.0,-1.6112254091905323,0.1590909090909091,0.13636363636363635
45,3.0,mae,"{0: 1, 1: 3, 2: 1}","[40, 10]",Adam,300.0,-1.244260102955565,0.1590909090909091,0.13636363636363635
46,3.0,mae,"{0: 1, 1: 3, 2: 1}","[40, 10]",RMSprop,150.0,-1.7313461430542147,0.18181818181818182,0.13636363636363635
47,3.0,mae,"{0: 1, 1: 3, 2: 1}","[40, 10]",RMSprop,300.0,-1.6684670088288518,0.1590909090909091,0.1590909090909091
48,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",Adam,150.0,0.17056390940274274,0.22727272727272727,0.18181818181818182
49,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",Adam,300.0,0.14933327095000626,0.2727272727272727,0.25
50,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,150.0,0.04097690421223371,0.20454545454545456,0.20454545454545456
51,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,300.0,0.42412611893212143,0.3181818181818182,0.2727272727272727
52,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",Adam,150.0,-0.29641086764539837,0.25,0.20454545454545456
53,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",Adam,300.0,-0.10488627245856097,0.29545454545454547,0.2727272727272727
54,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,0.5622690543655633,0.3181818181818182,0.25
55,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,0.4994768426807983,0.36363636363636365,0.2727272727272727
56,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",Adam,150.0,0.47072926585130254,0.25,0.25
57,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",Adam,300.0,0.5727637683349209,0.38636363636363635,0.3409090909090909
58,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",RMSprop,150.0,0.42295476162000584,0.36363636363636365,0.3409090909090909
59,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",RMSprop,300.0,0.25102162802532063,0.38636363636363635,0.36363636363636365
60,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 10]",Adam,150.0,0.6382916307396651,0.36363636363636365,0.3409090909090909
61,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 10]",Adam,300.0,-1.9212586464785146,0.22727272727272727,0.20454545454545456
62,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 10]",RMSprop,150.0,0.041032106370497146,0.2727272727272727,0.25
63,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 10]",RMSprop,300.0,-0.9080843892146726,0.22727272727272727,0.20454545454545456
64,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",Adam,150.0,0.721323364797576,0.4318181818181818,0.38636363636363635
65,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",Adam,300.0,0.5558082119247689,0.38636363636363635,0.36363636363636365
66,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",RMSprop,150.0,0.7405999369147185,0.4090909090909091,0.3409090909090909
67,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",RMSprop,300.0,0.8131591187872731,0.5,0.4772727272727273
68,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 10]",Adam,150.0,0.2604950472254472,0.3181818181818182,0.29545454545454547
69,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 10]",Adam,300.0,0.48578060699615805,0.36363636363636365,0.3181818181818182
70,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 10]",RMSprop,150.0,0.09848861525673203,0.22727272727272727,0.20454545454545456
71,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 10]",RMSprop,300.0,0.24630651442466306,0.20454545454545456,0.1590909090909091
72,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40]",Adam,150.0,-0.18720419504468255,0.13636363636363635,0.13636363636363635
73,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40]",Adam,300.0,-0.1420791128240026,0.2727272727272727,0.25
74,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40]",RMSprop,150.0,-0.3267205601046085,0.25,0.22727272727272727
75,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40]",RMSprop,300.0,-0.04861797548895397,0.22727272727272727,0.20454545454545456
76,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40]",Adam,150.0,0.5388705986692433,0.3181818181818182,0.3181818181818182
77,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40]",Adam,300.0,0.7549450676938285,0.4090909090909091,0.38636363636363635
78,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40]",RMSprop,150.0,0.4123007294918975,0.3181818181818182,0.29545454545454547
79,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40]",RMSprop,300.0,0.3954029357743849,0.38636363636363635,0.3409090909090909
80,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40]",Adam,150.0,0.6306924328314514,0.3409090909090909,0.3181818181818182
81,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40]",Adam,300.0,0.10299588473755306,0.3409090909090909,0.2727272727272727
82,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40]",RMSprop,150.0,0.192175426803959,0.25,0.22727272727272727
83,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40]",RMSprop,300.0,-1.3654614410438624,0.2727272727272727,0.25
84,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70]",Adam,150.0,0.42826470327792515,0.3181818181818182,0.29545454545454547
85,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70]",Adam,300.0,0.4743374468496093,0.36363636363636365,0.3409090909090909
86,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70]",RMSprop,150.0,-0.06436066061090656,0.22727272727272727,0.22727272727272727
87,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70]",RMSprop,300.0,-0.3371061951690406,0.20454545454545456,0.20454545454545456
88,3.0,mae,"{0: 2, 1: 1, 2: 1}","[40, 10]",Adam,150.0,0.6535880504902254,0.3409090909090909,0.25
89,3.0,mae,"{0: 2, 1: 1, 2: 1}","[40, 10]",Adam,300.0,0.4282998404247616,0.2727272727272727,0.22727272727272727
90,3.0,mae,"{0: 2, 1: 1, 2: 1}","[40, 10]",RMSprop,150.0,0.33197318313605984,0.38636363636363635,0.2727272727272727
91,3.0,mae,"{0: 2, 1: 1, 2: 1}","[40, 10]",RMSprop,300.0,0.1733262440298282,0.25,0.20454545454545456
92,3.0,mae,"{0: 2, 1: 1, 2: 1}","[70, 40, 10]",Adam,150.0,0.7020761073294294,0.3181818181818182,0.25
93,3.0,mae,"{0: 2, 1: 1, 2: 1}","[70, 40, 10]",Adam,300.0,0.6698776489860423,0.3409090909090909,0.25
