,argu,loss_fun,class_weight,nl,opt,epochs,Rsquare_median,R_greater_80,R_greater_85
32,1.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",Adam,150.0,0.6137345064309359,0.38636363636363635,0.36363636363636365
33,1.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",Adam,300.0,0.6994381916410721,0.4318181818181818,0.3181818181818182
34,1.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,150.0,0.3987018196910265,0.3181818181818182,0.29545454545454547
35,1.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,300.0,0.8178273037154724,0.5227272727272727,0.4318181818181818
36,1.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40]",Adam,150.0,0.698008482905462,0.4318181818181818,0.38636363636363635
37,1.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40]",Adam,300.0,0.4893385775229789,0.36363636363636365,0.3181818181818182
38,1.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,150.0,0.12506361784094783,0.3181818181818182,0.25
39,1.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,300.0,0.5140630010628429,0.4090909090909091,0.3409090909090909
40,1.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70]",Adam,150.0,0.6516544281205274,0.4090909090909091,0.3409090909090909
41,1.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70]",Adam,300.0,0.6483929461882765,0.4318181818181818,0.36363636363636365
42,1.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70]",RMSprop,150.0,0.4217276988117148,0.3409090909090909,0.3181818181818182
43,1.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70]",RMSprop,300.0,0.4444555470923837,0.3409090909090909,0.2727272727272727
44,1.0,mae,"{0: 1, 1: 3, 2: 1}","[40, 10]",Adam,150.0,0.12761967711818167,0.29545454545454547,0.22727272727272727
45,1.0,mae,"{0: 1, 1: 3, 2: 1}","[40, 10]",Adam,300.0,0.34501265232755646,0.38636363636363635,0.38636363636363635
46,1.0,mae,"{0: 1, 1: 3, 2: 1}","[40, 10]",RMSprop,150.0,0.6185277094843626,0.36363636363636365,0.3181818181818182
47,1.0,mae,"{0: 1, 1: 3, 2: 1}","[40, 10]",RMSprop,300.0,0.6107156072080056,0.3181818181818182,0.3181818181818182
48,1.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",Adam,150.0,-0.06534161843939679,0.2727272727272727,0.22727272727272727
49,1.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",Adam,300.0,0.45613207691628604,0.38636363636363635,0.3181818181818182
50,1.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,150.0,0.5601298327477542,0.3409090909090909,0.3409090909090909
51,1.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,300.0,0.58725872378521,0.38636363636363635,0.3181818181818182
52,1.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",Adam,150.0,0.5623568147309193,0.4090909090909091,0.38636363636363635
53,1.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",Adam,300.0,0.615132201698689,0.45454545454545453,0.4090909090909091
54,1.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,0.6394327064941905,0.38636363636363635,0.3181818181818182
55,1.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,0.7896607244669858,0.4772727272727273,0.4090909090909091
56,1.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",Adam,150.0,0.8060559849676009,0.5454545454545454,0.4318181818181818
57,1.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",Adam,300.0,0.8280607915055856,0.5227272727272727,0.4772727272727273
58,1.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",RMSprop,150.0,0.651867473295952,0.4318181818181818,0.38636363636363635
59,1.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",RMSprop,300.0,0.7109005134176432,0.45454545454545453,0.4318181818181818
60,1.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 10]",Adam,150.0,0.5705530524904248,0.36363636363636365,0.3409090909090909
61,1.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 10]",Adam,300.0,0.6289380952624153,0.45454545454545453,0.3409090909090909
62,1.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 10]",RMSprop,150.0,0.5523883780318164,0.3181818181818182,0.29545454545454547
63,1.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 10]",RMSprop,300.0,0.4283619701037665,0.4090909090909091,0.3409090909090909
64,1.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",Adam,150.0,0.7726469543664716,0.4772727272727273,0.4090909090909091
65,1.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",Adam,300.0,0.7795098090787758,0.4772727272727273,0.4318181818181818
66,1.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",RMSprop,150.0,0.7112096275873823,0.4090909090909091,0.29545454545454547
