,argu,loss_fun,class_weight,nl,opt,epochs,Rsquare_median,R_greater_80,R_greater_85
37,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",Adam,300.0,0.04535101999183899,0.22727272727272727,0.20454545454545456
38,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,150.0,0.5515708182298504,0.38636363636363635,0.36363636363636365
39,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,300.0,0.5305276415600226,0.2727272727272727,0.22727272727272727
40,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70]",Adam,150.0,0.33887653060243683,0.3409090909090909,0.29545454545454547
41,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70]",Adam,300.0,0.1852821661285397,0.22727272727272727,0.18181818181818182
42,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70]",RMSprop,150.0,0.4237671774741969,0.29545454545454547,0.2727272727272727
43,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70]",RMSprop,300.0,0.53521734476375,0.36363636363636365,0.3409090909090909
44,2.0,mse,"{0: 1, 1: 3, 2: 1}","[40, 10]",Adam,150.0,-2.0338050658615088,0.1590909090909091,0.13636363636363635
45,2.0,mse,"{0: 1, 1: 3, 2: 1}","[40, 10]",Adam,300.0,-0.9104888955541485,0.1590909090909091,0.11363636363636363
46,2.0,mse,"{0: 1, 1: 3, 2: 1}","[40, 10]",RMSprop,150.0,-2.0768183960352213,0.11363636363636363,0.11363636363636363
47,2.0,mse,"{0: 1, 1: 3, 2: 1}","[40, 10]",RMSprop,300.0,-2.9005771128007884,0.13636363636363635,0.13636363636363635
48,2.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",Adam,150.0,0.11591511630452145,0.22727272727272727,0.22727272727272727
49,2.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",Adam,300.0,-0.2645269359698321,0.22727272727272727,0.20454545454545456
50,2.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,150.0,0.4413893498078558,0.2727272727272727,0.25
51,2.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,300.0,0.47827080816959733,0.3181818181818182,0.25
52,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",Adam,150.0,0.2657616014014291,0.2727272727272727,0.22727272727272727
53,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",Adam,300.0,0.4012887486178395,0.3181818181818182,0.22727272727272727
54,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,0.18265497999468427,0.22727272727272727,0.20454545454545456
55,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,0.07916838732630377,0.3181818181818182,0.2727272727272727
56,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",Adam,150.0,-0.08544034391482891,0.2727272727272727,0.2727272727272727
57,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",Adam,300.0,-0.5612976020841892,0.2727272727272727,0.2727272727272727
58,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",RMSprop,150.0,-0.338775476184522,0.3409090909090909,0.22727272727272727
59,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",RMSprop,300.0,0.3299633327460563,0.38636363636363635,0.3181818181818182
60,2.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 10]",Adam,150.0,-1.1158159288819718,0.1590909090909091,0.1590909090909091
61,2.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 10]",Adam,300.0,-0.6478427646317804,0.22727272727272727,0.20454545454545456
62,2.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 10]",RMSprop,150.0,0.24023135775118476,0.2727272727272727,0.22727272727272727
63,2.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 10]",RMSprop,300.0,0.23933066448080803,0.3181818181818182,0.29545454545454547
64,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",Adam,150.0,-0.08254471433643162,0.13636363636363635,0.13636363636363635
65,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",Adam,300.0,0.24948438596595335,0.1590909090909091,0.13636363636363635
66,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",RMSprop,150.0,0.22627752683987895,0.18181818181818182,0.13636363636363635
67,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",RMSprop,300.0,0.30675304811190235,0.3181818181818182,0.2727272727272727
68,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 10]",Adam,150.0,-0.26732321799834013,0.13636363636363635,0.13636363636363635
69,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 10]",Adam,300.0,0.13274352908075487,0.36363636363636365,0.3409090909090909
70,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 10]",RMSprop,150.0,-0.6486192823148169,0.1590909090909091,0.13636363636363635
71,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 10]",RMSprop,300.0,0.17358139398408629,0.2727272727272727,0.20454545454545456
72,2.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40]",Adam,150.0,-0.8544219520603997,0.20454545454545456,0.18181818181818182
73,2.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40]",Adam,300.0,0.13341998758476203,0.25,0.22727272727272727
74,2.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40]",RMSprop,150.0,-0.9443386330694246,0.13636363636363635,0.13636363636363635
75,2.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40]",RMSprop,300.0,-0.2747154423137419,0.25,0.25
76,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40]",Adam,150.0,0.619580728236114,0.45454545454545453,0.36363636363636365
77,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40]",Adam,300.0,0.6773430748922533,0.4090909090909091,0.36363636363636365
78,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40]",RMSprop,150.0,0.6539065956506083,0.4090909090909091,0.38636363636363635
79,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40]",RMSprop,300.0,0.760066807571223,0.5,0.4090909090909091
80,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40]",Adam,150.0,-0.4472813177585233,0.11363636363636363,0.11363636363636363
81,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40]",Adam,300.0,-0.2925853528050364,0.2727272727272727,0.25
82,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40]",RMSprop,150.0,0.14594928800303986,0.25,0.22727272727272727
83,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40]",RMSprop,300.0,0.47984103664721794,0.3409090909090909,0.29545454545454547
84,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70]",Adam,150.0,-0.1694881805966375,0.29545454545454547,0.2727272727272727
85,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70]",Adam,300.0,0.3981745524126026,0.3181818181818182,0.25
86,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70]",RMSprop,150.0,0.08292680202959307,0.3409090909090909,0.29545454545454547
87,2.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70]",RMSprop,300.0,-0.00022763577252871148,0.2727272727272727,0.22727272727272727
88,2.0,mse,"{0: 2, 1: 1, 2: 1}","[40, 10]",Adam,150.0,-0.9507267699490723,0.1590909090909091,0.11363636363636363
89,2.0,mse,"{0: 2, 1: 1, 2: 1}","[40, 10]",Adam,300.0,-0.8296403881102911,0.25,0.22727272727272727
90,2.0,mse,"{0: 2, 1: 1, 2: 1}","[40, 10]",RMSprop,150.0,-1.2732092639948063,0.045454545454545456,0.045454545454545456
91,2.0,mse,"{0: 2, 1: 1, 2: 1}","[40, 10]",RMSprop,300.0,-3.9101912825331153,0.1590909090909091,0.13636363636363635
92,2.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 40, 10]",Adam,150.0,0.22055179093049976,0.25,0.18181818181818182
93,2.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 40, 10]",Adam,300.0,0.2149677090041524,0.25,0.25
94,2.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,150.0,0.3026737939180933,0.2727272727272727,0.25
95,2.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,300.0,0.30601821961139636,0.29545454545454547,0.25
96,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,150.0,0.7352886423485409,0.45454545454545453,0.45454545454545453
97,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,300.0,0.6337589269559429,0.3409090909090909,0.29545454545454547
98,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,0.5318082584582315,0.3181818181818182,0.25
99,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,0.32237283817307916,0.38636363636363635,0.3409090909090909
100,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 40, 10]",Adam,150.0,0.22775343018727084,0.25,0.22727272727272727
101,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 40, 10]",Adam,300.0,0.5512979393956605,0.3409090909090909,0.25
102,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,150.0,-0.10314130607492566,0.3181818181818182,0.25
103,2.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,300.0,0.3278070000910353,0.4090909090909091,0.3181818181818182
104,2.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 10]",Adam,150.0,-0.09712715161304386,0.18181818181818182,0.1590909090909091
