,argu,loss_fun,class_weight,nl,opt,epochs,Rsquare_median,R_greater_80,R_greater_85
0,1.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",Adam,150.0,-0.7880518258894753,0.22727272727272727,0.22727272727272727
1,1.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",Adam,300.0,0.12814801285646876,0.20454545454545456,0.20454545454545456
2,1.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",RMSprop,150.0,-2.0162851676238605,0.20454545454545456,0.18181818181818182
3,1.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",RMSprop,300.0,0.029115262146291787,0.20454545454545456,0.18181818181818182
4,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",Adam,150.0,0.5919367304108903,0.3181818181818182,0.3181818181818182
5,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",Adam,300.0,0.5972213923056177,0.36363636363636365,0.3181818181818182
6,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,150.0,0.42652482944241854,0.4090909090909091,0.2727272727272727
7,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,300.0,0.559987795034444,0.36363636363636365,0.3409090909090909
8,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,150.0,0.4746360196423585,0.22727272727272727,0.1590909090909091
9,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,300.0,0.44396444573849997,0.36363636363636365,0.3181818181818182
10,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,0.61486167140633,0.38636363636363635,0.36363636363636365
11,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,0.6678721549647892,0.4318181818181818,0.4090909090909091
12,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",Adam,150.0,0.7723769102260152,0.5,0.38636363636363635
13,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",Adam,300.0,0.7462611109605578,0.4318181818181818,0.4090909090909091
14,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,150.0,0.6358070608934128,0.36363636363636365,0.3409090909090909
